"filename", "language", "Markdown", "HTML", "CSS", "", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\kappe\Desktop\btryl\README.md", "Markdown", 7, 0, 0, 0, 0, 0, 0, 10, 17
"c:\Users\kappe\Desktop\btryl\about.html", "HTML", 0, 144, 0, 0, 0, 0, 9, 24, 177
"c:\Users\kappe\Desktop\btryl\animation.html", "HTML", 0, 31, 0, 0, 0, 0, 0, 5, 36
"c:\Users\kappe\Desktop\btryl\checkout.html", "HTML", 0, 92, 0, 0, 0, 0, 0, 22, 114
"c:\Users\kappe\Desktop\btryl\collections.html", "HTML", 0, 271, 0, 0, 0, 0, 7, 49, 327
"c:\Users\kappe\Desktop\btryl\dist\cart\README.md", "Markdown", 85, 0, 0, 0, 0, 0, 0, 55, 140
"c:\Users\kappe\Desktop\btryl\dist\cart\dist\cart-localstorage.min.js", "JavaScript", 0, 0, 0, 0, 151, 0, 0, 1, 152
"c:\Users\kappe\Desktop\btryl\dist\cart\dist\cart-localstorage.min.js.map", "", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\kappe\Desktop\btryl\dist\cart\docs\index.html", "HTML", 0, 100, 0, 0, 0, 0, 0, 9, 109
"c:\Users\kappe\Desktop\btryl\dist\cart\index.js", "JavaScript", 0, 0, 0, 0, 15, 0, 0, 16, 31
"c:\Users\kappe\Desktop\btryl\dist\cart\package-lock.json", "JSON", 0, 0, 0, 0, 0, 7010, 0, 1, 7011
"c:\Users\kappe\Desktop\btryl\dist\cart\package.json", "JSON", 0, 0, 0, 0, 0, 43, 0, 1, 44
"c:\Users\kappe\Desktop\btryl\dist\cart\rollup.config.js", "JavaScript", 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\kappe\Desktop\btryl\dist\cart\tests\index.test.js", "JavaScript", 0, 0, 0, 0, 161, 0, 0, 149, 310
"c:\Users\kappe\Desktop\btryl\dist\cart\utils\localstorage.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 5, 17
"c:\Users\kappe\Desktop\btryl\fonts\a.txt", "", 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\kappe\Desktop\btryl\index.html", "HTML", 0, 91, 0, 0, 0, 0, 1, 9, 101
"c:\Users\kappe\Desktop\btryl\not_found.html", "HTML", 0, 32, 0, 0, 0, 0, 0, 4, 36
"c:\Users\kappe\Desktop\btryl\old_collections.html", "HTML", 0, 104, 0, 0, 0, 0, 11, 30, 145
"c:\Users\kappe\Desktop\btryl\orders.html", "HTML", 0, 165, 0, 0, 0, 0, 7, 44, 216
"c:\Users\kappe\Desktop\btryl\payment.html", "HTML", 0, 50, 0, 0, 0, 0, 0, 7, 57
"c:\Users\kappe\Desktop\btryl\payment_noTwint.html", "HTML", 0, 39, 0, 0, 0, 0, 0, 6, 45
"c:\Users\kappe\Desktop\btryl\style\checkbox.css", "CSS", 0, 0, 46, 0, 0, 0, 0, 1, 47
"c:\Users\kappe\Desktop\btryl\style\collections.css", "CSS", 0, 0, 278, 0, 0, 0, 0, 29, 307
"c:\Users\kappe\Desktop\btryl\style\form.css", "CSS", 0, 0, 62, 0, 0, 0, 2, 9, 73
"c:\Users\kappe\Desktop\btryl\style\navbtn.css", "CSS", 0, 0, 48, 0, 0, 0, 0, 3, 51
"c:\Users\kappe\Desktop\btryl\style\new_navbtn.css", "CSS", 0, 0, 44, 0, 0, 0, 0, 3, 47
"c:\Users\kappe\Desktop\btryl\style\slideshow.css", "CSS", 0, 0, 102, 0, 0, 0, 11, 20, 133
"c:\Users\kappe\Desktop\btryl\style\style.css", "CSS", 0, 0, 430, 0, 0, 0, 0, 79, 509
"c:\Users\kappe\Desktop\btryl\succesful.html", "HTML", 0, 41, 0, 0, 0, 0, 0, 9, 50
"Total", "-", 92, 1160, 1010, 1, 364, 7053, 48, 603, 10331
